TRACK_ID,DANCEABILITY,VALENCE,ENERGY,TEMPO,STREAMS,YEAR
5Xhqh4lwJPtMUTsdBztN1a,0.775,0.775,0.696,92.007,118679933,2020
5bcTCxgc7xVfSaMV3RuVke,0.893,0.872,0.745,101.018,462389197,2017
5cF0dROlMOK5uNZtivgu50,0.775,0.797,0.613,100.066,57584424,2018
5f1joOtoMeyppIcJGZQvqJ,0.727,0.322,0.626,86.97,115760504,2020
5hM5arv9KDbCHS0k9uqwjr,0.621,0.873,0.873,97.96,5921044,2020
5mCPDVBb16L4XQwDdbRUpz,0.809,0.364,0.463,111.98,41819595,2017
5nujrmhLynf4yMoMtj8AQF,0.702,0.915,0.825,102.977,1535285482,2020
5ry2OE6R2zPQFDO85XkgRb,0.831,0.101,0.502,100.541,508783617,2019
5tFep7dXGd7vEJ668wTPux,0.85,0.344,0.405,139.976,35392610,2016
5uCax9HTNlzGybIStD3vDh,0.358,0.494,0.557,85.043,1959283644,2016
5yY9lUy8nbvjM1Uyo1Uqoc,0.676,0.508,0.609,142.037,359021893,2020
60iSKGrGazRzICtMjADNSM,0.688,0.162,0.53,106.958,16419938,2019
650OeHTLxZAQmb4aEbGmaA,0.697,0.452,0.84,128.034,4879064,2017
66kQ7wr4d2LwwSjr7HXcyr,0.705,0.465,0.628,96.799,14130083,2018
6AzKhCHOms83jvNVLsz0Bt,0.791,0.672,0.682,98.031,102429603,2020
6CTWathupIiDs7U4InHnDA,0.477,0.358,0.61,79.882,33403103,2018
6DCZcSspjsKoFjzjrWoCdn,0.754,0.357,0.449,77.169,539987334,2018
6G8kHiVZ1jW7vHMPVRNZU0,0.822,0.138,0.318,102.998,110045568,2018
6HZILIRieu8S0iqY8kIKhj,0.638,0.422,0.523,139.913,357834761,2017
6Hj9jySrnFppAI0sEMCZpJ,0.685,0.578,0.692,159.966,631284458,2019
6I6NX6tjGsxFAsIfGzY9lJ,0.657,0.181,0.421,174.063,55183117,2016
6Im9k8u9iIzKMrmV7BWtlF,0.83,0.485,0.585,109.978,515489076,2020
6KuqAtoeVzxAYOaMveLNpH,0.783,0.839,0.84,95.001,40460883,2018
6NYtLvyThMT0oALFdJFdzq,0.688,0.553,0.573,110.034,9399230,2020
6NfrH0ANGmgBXyxgV2PeXt,0.685,0.761,0.848,179.87,231781751,2020
6PCUP3dWmTjcTtXY02oFdT,0.461,0.471,0.834,135.007,529821512,2017
6PGoSes0D9eUDeeAafB2As,0.8,0.779,0.585,126.058,335855240,2017
6PJ8FF6UR8FZXfEvpHkIVN,0.617,0.242,0.439,139.979,80793232,2017
6Pgkp4qUoTmJIPn7ReaGxL,0.662,0.295,0.858,133.993,30070260,2017
6Qs4SXO9dwPj5GKvVOv8Ki,0.741,0.347,0.52,102.998,697480458,2019
6TIU9Ehmi6dMzZK73Ym4yj,0.552,0.481,0.29,78.842,36097455,2017
6WrI0LAC5M1Rw2MnX2ZvEg,0.794,0.677,0.793,123.941,596042705,2019
6XHVuErjQ4XNm6nDPVCxVX,0.696,0.136,0.454,92.928,371589279,2019
6b2RcmUt1g9N9mQ3CbjX2Y,0.477,0.345,0.682,110.567,533033471,2019
6cx06DFPPHchuUAcTxznu9,0.734,0.905,0.874,122.953,785924030,2020
6f3Slt0GbA2bPZlz0aIFXN,0.798,0.235,0.62,120.031,765387748,2020
6jA8HL9i4QGzsj6fjoxp8Y,0.611,0.13,0.644,105.969,290601751,2017
6jreFSOTUAViWjKyzOC4Kg,0.601,0.483,0.775,119.964,73590863,2018
6mICuAdrwEjh6Y6lroV2Kg,0.852,0.907,0.773,102.034,353496298,2017
6n4U3TlzUGhdSFbUUhTvLP,0.907,0.395,0.633,145.914,259932739,2018
6nO3tr47nr2P7f3hXb8JIo,0.642,0.396,0.782,162.005,27977667,2018
6ocbgoVGwYJhOv1GgI9NsF,0.778,0.327,0.317,140.048,1365462962,2019
6p8NuHm8uCGnn2Dtbtf7zE,0.92,0.749,0.675,141.967,230639270,2017
6rPO02ozF3bM7NnOV4h6s2,0.653,0.816,0.816,178.085,4530498,2017
6u7gmPOz7pzzaeR9xSBpsR,0.686,0.372,0.526,92.013,15925506,2020
6wQlQrTY5mVS8EGaFZVwVF,0.694,0.306,0.685,158.831,159074214,2020
6wmAHw1szh5RCKSRjiXhPe,0.845,0.811,0.561,109.974,9103143,2018
6zegtH6XXd2PDPLvy1Y0n2,0.644,0.334,0.755,102.861,22111346,2019
70eFcWOvlMObDhURTqT4Fv,0.64,0.546,0.647,92.979,807478795,2019
70lnL3QaSOIIyMa2X9aVRL,0.75,0.893,0.76,183.817,150957974,2017
75lcPkAkUsKWHGBlGM476R,0.825,0.568,0.572,141.991,17432733,2018
76cy1WJvNGJTj78UqeA5zr,0.836,0.51,0.544,97.028,765728252,2017
7A20WnLkjtZU2d7hIB6Ziu,0.886,0.408,0.479,130.029,14872778,2019
7AFASza1mXqntmGtbxXprO,0.669,0.52,0.308,64.934,510902331,2018
7AQim7LbvFVZJE3O8TYgf2,0.797,0.329,0.533,131.036,511902114,2017
7B3z0ySL9Rr0XvZEAjWZzM,0.744,0.641,0.619,112.997,160596557,2019
7Bar1kLTmsRmH6FCKKMEyU,0.679,0.716,0.516,120.074,12812403,2020
7COfe3P7KgfwDwIRB8LIDw,0.548,0.288,0.704,104.666,43060805,2018
7DrluKkTviBwCc8AV3VGmf,0.766,0.881,0.822,165.842,173816541,2018
